"Date","High","Low","Open","Close","Volume","Adj.Close"
"2006-09-06",71.689999,69.7,71.079998,70.030001,243525800,9.159178
"2006-09-07",73.48,70.249999,70.6,72.799997,316989400,9.521464
"2006-09-08",73.570002,71.909997,73.369997,72.519998,223980400,9.484843
"2006-09-11",73.729999,71.419999,72.430002,72.499997,237281100,9.482227
"2006-09-12",73.449999,71.45,72.809998,72.63,421171800,9.49923
"2006-09-13",74.319999,72.299999,72.849998,74.200003,286534500,9.704569
"2006-09-14",74.67,73.459999,73.719998,74.170002,200432400,9.700646
"2006-09-15",74.98,73.290002,74.599998,74.1,245463400,9.69149
"2006-09-18",74.859998,73.300002,73.8,73.890002,176319500,9.664025
"2006-09-19",74.36,72.799997,74.1,73.77,177512300,9.64833
"2006-09-20",75.680003,74.220003,74.38,75.26,205697800,9.843206
"2006-09-21",76.059999,74.019999,75.25,74.65,198531200,9.763424
"2006-09-22",74.339999,72.579999,74.299998,73.000002,166278000,9.547622
"2006-09-25",75.860001,73.719998,73.81,75.749998,214748100,9.907292
"2006-09-26",77.779998,76.099999,76.180001,77.610001,275737000,10.150561
"2006-09-27",77.469997,75.82,77.169997,76.41,202593300,9.993613
"2006-09-28",77.479998,75.950003,77.02,77.01,180902400,10.072087
"2006-09-29",77.519999,76.679999,77.110003,76.98,101453100,10.068163
"2006-10-02",75.870001,74.299998,75.100003,74.859998,178159800,9.79089
"2006-10-03",74.95,73.19,74.450002,74.08,197677200,9.688874
"2006-10-04",75.459998,73.159999,74.1,75.380003,207270700,9.858901
"2006-10-05",76.160001,74.130001,74.529997,74.829997,170970800,9.786966
"2006-10-06",75.040002,73.81,74.420001,74.220003,116739700,9.707185
"2006-10-09",75.080003,73.530001,73.8,74.629999,109555600,9.760808
"2006-10-10",74.579998,73.079997,74.539997,73.81,132897100,9.653561
"2006-10-11",73.979998,72.599999,73.419998,73.23,142963800,9.577703
"2006-10-12",75.390003,73.600002,73.610003,75.26,148213800,9.843206
"2006-10-13",76.879997,74.740002,75.630002,75.020001,171049200,9.811816
"2006-10-16",75.880001,74.790003,75.189999,75.399997,127173200,9.861516
"2006-10-17",75.27,74.039999,75.040002,74.289998,120231300,9.71634
"2006-10-18",75.370003,73.910003,74.750002,74.529997,283476900,9.747729
"2006-10-19",79.950001,78.16,79.259998,78.989999,378244300,10.33105
"2006-10-20",79.990002,78.669998,78.969998,79.950001,159853400,10.456608
"2006-10-23",81.899999,79.750003,79.990002,81.460002,208126800,10.6541
"2006-10-24",81.68,80.2,81.210003,81.049999,115803100,10.600476
"2006-10-25",82.000001,81.009998,81.349999,81.68,121303700,10.682873
"2006-10-26",82.600001,81.130001,81.899999,82.189999,108189200,10.749576
"2006-10-27",82.449998,80.010002,81.750002,80.409998,148741600,10.516771
"2006-10-30",80.900002,79.499997,79.990002,80.419998,124979400,10.518078
"2006-10-31",81.68,80.23,81.450002,81.08,125368600,10.6044
"2006-11-01",81.38,78.359998,81.1,79.160003,152798100,10.353284
"2006-11-02",79.32,78.500001,78.919997,78.979999,116370800,10.329742
"2006-11-03",79.529998,77.789998,79.360001,78.290003,107972200,10.239498
"2006-11-06",80.060003,78.429999,78.949998,79.710002,108644200,10.425219
"2006-11-07",80.999998,80.129998,80.449999,80.51,131483100,10.52985
"2006-11-08",82.689997,79.889999,80.020002,82.449998,172729200,10.783581
"2006-11-09",84.690002,82.119997,82.900002,83.339998,230763400,10.899983
"2006-11-10",83.599998,82.499999,83.550003,83.12,93466100,10.87121
"2006-11-13",84.449997,82.640002,83.220002,84.350001,112668500,11.032081
"2006-11-14",85.000003,83.899998,84.799998,85.000003,147238700,11.117094
"2006-11-15",85.899997,84,85.049997,84.050001,163830800,10.992844
"2006-11-16",86.299999,84.620001,84.87,85.609997,173485200,11.196875
"2006-11-17",85.939998,85.000003,85.139999,85.850002,116606000,11.228265
"2006-11-20",87.000002,85.200001,85.399999,86.470003,142698500,11.309355
"2006-11-21",88.599998,87.109998,87.419998,88.599998,155666700,11.587935
"2006-11-22",90.750001,87.850001,88.990001,90.309998,167985300,11.811585
"2006-11-24",93.080001,89.499999,89.53,91.630001,129669400,11.984227
"2006-11-27",93.160003,89.499999,92.510001,89.54,268709000,11.710877
"2006-11-28",91.970002,89.910002,90.359999,91.809999,259043400,12.007769
"2006-11-29",93.150002,90.250003,92.999999,91.799998,289270800,12.006461
"2006-11-30",92.679998,91.060001,92.210001,91.660002,217621600,11.988151
"2006-12-01",92.329997,90.099999,91.799998,91.320001,198769900,11.943683
"2006-12-04",92.049997,90.500002,91.88,91.120003,177384200,11.917525
"2006-12-05",92.329997,90.869997,91.650002,91.27,165709600,11.937143
"2006-12-06",91.390002,89.670003,90.639998,89.83,159546100,11.748806
"2006-12-07",90.500002,86.9,90.029998,87.040003,251206900,11.383904
"2006-12-08",89.390003,87.000002,87.23,88.259997,196069300,11.543467
"2006-12-11",89.300001,88.049999,88.899999,88.750002,124945100,11.607554
"2006-12-12",88.839997,85.530002,88.609999,86.140002,256655000,11.266194
"2006-12-13",89.070003,87.149999,87.949997,89.050002,214263000,11.646791
"2006-12-14",89.999997,88.259997,89.050002,88.549997,208082700,11.581396
"2006-12-15",89.219999,87.330003,89.020001,87.719998,184984800,11.472841
